Country,GDP
United States,1.86E+13
China,1.12E+13
Japan,4.95E+12
Germany,3.48E+12
United Kingdom,2.65E+12
France,2.47E+12
India,2.26E+12
Italy,1.86E+12
Brazil,1.80E+12
Canada,1.54E+12
"Korea, Rep.",1.41E+12
Russian Federation,1.28E+12
Spain,1.24E+12
Australia,1.20E+12
